+------------------------------------------------------------------------------------+
            Cipher Name: ChaCha
            PNB search in syncopation way                                           
*************** PNBs (4) ***************
bias of 159 ~ 0.687608
bias of 158 ~ 0.757544
bias of 157 ~ 0.827364
bias of 156 ~ 0.883808
*************** Non-PNBs (28) ***************
bias of 155 ~ -0.927157
bias of 154 ~ 0.001169
bias of 153 ~ -0.000851
bias of 152 ~ 0.163074
bias of 151 ~ 0.000278
bias of 150 ~ -0.000121
bias of 149 ~ 0.049910
bias of 148 ~ 0.147522
bias of 147 ~ 0.293963
bias of 146 ~ 0.000047
bias of 145 ~ 0.026793
bias of 144 ~ 0.121103
bias of 143 ~ -0.268367
bias of 142 ~ 0.000527
bias of 141 ~ 0.120919
bias of 128 ~ 0.277283
bias of 129 ~ 0.096471
bias of 130 ~ -0.000441
bias of 131 ~ -0.197026
bias of 132 ~ 0.062137
bias of 133 ~ -0.000778
bias of 134 ~ -0.000081
bias of 135 ~ -0.516273
bias of 136 ~ 0.344894
bias of 137 ~ 0.178813
bias of 138 ~ 0.051815
bias of 139 ~ -0.000376
bias of 140 ~ 0.308783
*------------------------------------------------------------------------------------*
****************************** Keyword: 5 *********************************************
*************** PNBs (2) ***************
bias of 191 ~ 0.937766
bias of 169 ~ 0.507654
*************** Non-PNBs (30) ***************
bias of 190 ~ -0.000958
bias of 172 ~ -0.085649
bias of 171 ~ 0.040640
bias of 170 ~ 0.279466
bias of 168 ~ -0.683047
bias of 167 ~ 0.001057
bias of 166 ~ 0.121238
bias of 165 ~ 0.177702
bias of 164 ~ -0.255015
bias of 163 ~ -0.000430
bias of 162 ~ 0.160783
bias of 161 ~ 0.372254
bias of 173 ~ 0.000438
bias of 160 ~ -0.566699
bias of 189 ~ 0.126842
bias of 174 ~ -0.171971
bias of 175 ~ 0.055197
bias of 176 ~ 0.105417
bias of 177 ~ 0.023629
bias of 178 ~ 0.001440
bias of 179 ~ -0.000441
bias of 180 ~ -0.399353
bias of 181 ~ 0.208481
bias of 182 ~ 0.063309
bias of 183 ~ 0.000188
bias of 184 ~ 0.026968
bias of 185 ~ -0.000290
bias of 186 ~ 0.337944
bias of 187 ~ 0.103644
bias of 188 ~ -0.329419
*------------------------------------------------------------------------------------*
****************************** Keyword: 6 *********************************************
*************** PNBs (11) ***************
bias of 223 ~ 1.000000
bias of 222 ~ 1.000000
bias of 221 ~ 1.000000
bias of 208 ~ 0.719720
bias of 200 ~ 0.716467
bias of 212 ~ 0.649720
bias of 199 ~ 0.847132
bias of 220 ~ 1.000000
bias of 194 ~ 0.548721
bias of 193 ~ 0.709813
bias of 192 ~ 0.821035
*************** Non-PNBs (21) ***************
bias of 219 ~ -1.000000
bias of 218 ~ 0.000089
bias of 217 ~ -0.000175
bias of 216 ~ -0.249322
bias of 215 ~ 0.000334
bias of 214 ~ 0.205537
bias of 213 ~ 0.451295
bias of 211 ~ -0.787790
bias of 195 ~ 0.336714
bias of 196 ~ 0.121020
bias of 209 ~ 0.448276
bias of 197 ~ -0.000151
bias of 210 ~ -0.083099
bias of 198 ~ 0.000011
bias of 201 ~ 0.498986
bias of 202 ~ 0.202154
bias of 203 ~ 0.000441
bias of 204 ~ 0.490782
bias of 205 ~ 0.242805
bias of 206 ~ 0.000546
bias of 207 ~ -0.857582
*------------------------------------------------------------------------------------*
****************************** Keyword: 7 *********************************************
*************** PNBs (7) ***************
bias of 247 ~ 0.546134
bias of 246 ~ 0.749512
bias of 245 ~ 0.862609
bias of 227 ~ 0.516263
bias of 226 ~ 0.710825
bias of 225 ~ 0.836451
bias of 224 ~ 0.910221
*************** Non-PNBs (25) ***************
bias of 255 ~ -1.000000
bias of 254 ~ -0.000885
bias of 253 ~ 0.062082
bias of 252 ~ -0.246466
bias of 251 ~ 0.000302
bias of 250 ~ 0.190960
bias of 249 ~ -0.422504
bias of 248 ~ 0.187890
bias of 244 ~ -0.925501
bias of 243 ~ 0.001132
bias of 242 ~ -0.000044
bias of 241 ~ 0.019341
bias of 228 ~ 0.265172
bias of 229 ~ 0.054180
bias of 230 ~ -0.000395
bias of 231 ~ -0.000286
bias of 232 ~ -0.480858
bias of 233 ~ 0.286223
bias of 234 ~ 0.095756
bias of 235 ~ -0.000838
bias of 236 ~ 0.130492
bias of 237 ~ -0.284672
bias of 238 ~ 0.094654
bias of 239 ~ 0.001080
bias of 240 ~ 0.163655
*------------------------------------------------------------------------------------*
Total non-PNBs: 191
Total PNBs: 65
The 65 PNBs are as follows:
{3, 4, 5, 6, 47, 48, 49, 67, 68, 69, 70, 71, 72, 73, 74, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 91, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 115, 124, 125, 126, 127, 156, 157, 158, 159, 169, 191, 192, 193, 194, 199, 200, 208, 212, 220, 221, 222, 223, 224, 225, 226, 227, 245, 246, 247}

The PNBs in descending order of BIAS is as follows:
{192, 193, 194, 220, 87, 91, 73, 74, 78, 79, 104, 80, 81, 106, 82, 72, 107, 83, 108, 71, 109, 126, 169, 84, 70, 110, 247, 127, 159, 49, 85, 103, 226, 111, 6, 69, 212, 246, 158, 223, 102, 115, 5, 48, 157, 86, 225, 68, 199, 200, 245, 222, 156, 67, 124, 4, 105, 208, 47, 221, 224, 227, 125, 191, 3}
